CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
1,250,4,214739.56,7840,8005,165,7881.25,71.44709581
2,250,3,161054.67,6159,7918,1759,6896.333333,745.7230645
3,250,4,214739.56,7508,7766,258,7694.75,108.0078122
4,250,4,214739.56,7277,7503,226,7346,91.21951546
5,250,4,214739.56,7760,7934,174,7860,63.07138812
6,250,4,214739.56,7347,7598,251,7498.25,92.40231328
7,250,3,161054.67,7103,7456,353,7304.666667,148.4415336
8,250,4,214739.56,5998,7402,1404,6744.5,660.5049205
9,250,4,214739.56,7788,8213,425,8056.75,163.29938
10,250,4,214739.56,7700,8153,453,7867,183.4570794
11,250,4,214739.56,6060,7253,1193,6511.75,477.3878795
12,250,4,214739.56,7400,8123,723,7625.25,296.4214694
13,250,4,214739.56,6213,6365,152,6251,65.81793069
14,250,4,214739.56,7279,8445,1166,7916.25,422.5620517
16,250,4,214739.56,6488,9040,2552,7870.75,1178.955761
17,250,4,214739.56,6223,7157,934,6596.75,396.3334297
18,250,3,161054.67,8068,8476,408,8206.333333,190.7045417
19,250,2,107369.78,6704,6781,77,6742.5,38.5
20,250,4,214739.56,7580,8201,621,7904.25,225.9616948
21,250,4,214739.56,7995,8302,307,8116.75,129.765895
22,250,3,161054.67,4810,7674,2864,6291.333333,1171.302788
23,250,5,268424.45,6764,8047,1283,7432.6,406.4517684
24,250,4,214739.56,6937,8034,1097,7529.5,448.5423614
25,250,4,214739.56,7761,7915,154,7799.5,66.68395609
26,250,3,161054.67,7244,7787,543,7500,222.7599605
27,250,4,214739.56,7255,7855,600,7575.5,234.3976322
28,250,4,214739.56,7373,7834,461,7493.75,196.6486397
29,250,4,214739.56,7716,7873,157,7764,63.41529784
31,250,4,214739.56,7615,7689,74,7641.25,30.33459246
32,250,3,161054.67,6984,7707,723,7361.333333,296.0116364
33,250,4,214739.56,7236,7591,355,7397.5,147.9704362
34,250,3,161054.67,6660,7280,620,7039.333333,271.4422386
10A,250,4,214739.56,6977,8243,1266,7837.5,505.43323
10NE,250,4,214739.56,7815,7985,170,7900,61.74544518
10NW,250,3,161054.67,8220,8269,49,8236.333333,23.09882152
10SW,250,4,214739.56,6818,8920,2102,7533.25,818.4617813
11NE,250,4,214739.56,6906,7512,606,7151.25,258.4911749
11NW,250,4,214739.56,7204,7902,698,7667.75,277.0725311
11SE,250,3,161054.67,7104,7528,424,7386.666667,199.8755168
17NW,250,3,161054.67,7389,7402,13,7393.333333,6.128258771
17SE,250,3,161054.67,6867,7578,711,7104,335.1686143
17SW,250,4,214739.56,7577,7701,124,7660.75,50.31090836
22S,250,3,161054.67,7029,8228,1199,7666.333333,492.405208
23S,250,4,214739.56,1722,3173,1451,2244.25,596.1259829
24S,250,3,161054.67,7886,8034,148,7984.666667,69.76786908
27A,250,4,214739.56,7897,8484,587,8088.25,231.3572724
2A,250,4,214739.56,6899,7999,1100,7387,495.8144814
5NE,250,3,161054.67,7419,7578,159,7525,74.95331881
5NW,250,3,161054.67,6108,6349,241,6233.333333,98.6249912
5SE,250,4,214739.56,8145,8674,529,8291,222.2622325
6NE,250,4,214739.56,7209,8007,798,7655.75,315.6686356
6NW,250,4,214739.56,7457,8345,888,7973.5,322.2371021
6SW,250,3,161054.67,7752,7888,136,7809,57.65992253
Cell 1 2011/12,250,4,214739.56,7840,8005,165,7881.25,71.44709581
Cell 1 SW 2013,250,4,214739.56,7185,7456,271,7361.5,107.1972481
Cell 10 2011/12,250,4,214739.56,7700,8153,453,7867,183.4570794
Cell 10 NE 2011/12,250,4,214739.56,7815,7985,170,7900,61.74544518
Cell 10 NW 2011/12,250,3,161054.67,8220,8269,49,8236.333333,23.09882152
Cell 10 SE 2013,250,4,214739.56,7457,8345,888,7973.5,322.2371021
Cell 10 SW 2011/12,250,4,214739.56,6818,8920,2102,7533.25,818.4617813
Cell 10-A 2011/12,250,4,214739.56,6977,8243,1266,7837.5,505.43323
Cell 11 NE 2011/12,250,4,214739.56,6906,7512,606,7151.25,258.4911749
Cell 11 NW 2013,250,4,214739.56,7794,8201,407,8085.75,168.8022141
Cell 11 SW 2013,250,4,214739.56,6946,7323,377,7124.25,169.3389722
Cell 12 2013,250,3,161054.67,7103,7456,353,7304.666667,148.4415336
