CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
1,250,1958,195800,0.279846191,5.029190063,4.749343872,1.879853425,1.014067881
10,250,1955,195500,0.001098633,3.914932251,3.913833618,1.119678093,0.814890847
10A,250,1957,195700,0.049575806,3.960891724,3.911315918,1.06960113,0.939995781
10NE,250,1970,197000,0.629623413,2.586196899,1.956573486,1.823546101,0.502567883
10NW,250,1956,195600,0.035079956,3.331176758,3.296096802,1.379630879,0.98612186
10SW,250,1958,195800,0.011276245,4.362960815,4.35168457,1.442034962,1.223243976
11,250,1958,195800,0.025009155,2.448410034,2.423400879,0.822776841,0.347126308
11NE,250,1958,195800,0.003936768,6.526794434,6.522857666,2.267070603,1.177098182
11NW,250,1959,195900,0.248336792,4.154342651,3.906005859,1.681292594,0.734300441
11SE,250,1959,195900,0.005096436,5.266296387,5.261199951,1.380736541,1.16714072
12,250,1959,195900,0.034332275,5.2915802,5.257247925,1.094550008,0.775871854
13,250,1959,195900,0.019454956,2.387268066,2.36781311,0.401391965,0.307386815
14,250,1957,195700,0.121551514,4.395706177,4.274154663,1.506711762,0.998875518
16,250,1964,196400,0.000152588,2.626312256,2.626159668,0.880104826,0.761327272
17,250,1957,195700,4.57764E-05,3.657546997,3.657501221,0.984906087,0.795754619
17NW,250,1965,196500,0.072021484,2.251113892,2.179092407,0.646636435,0.325403845
17SE,250,1958,195800,0.7159729,3.86907959,3.153106689,1.98684708,0.768379207
17SW,250,1961,196100,0.248382568,10.2046814,9.956298828,2.504688689,1.645901205
18,250,1955,195500,0.204620361,3.416259766,3.211639404,1.487206969,0.605600519
19,250,1967,196700,0.027984619,4.611038208,4.583053589,1.23109346,1.174892832
2,250,1959,195900,0.076019287,8.980300903,8.904281616,3.923024083,1.651526646
20,250,1959,195900,0.208496094,6.926635742,6.718139648,1.942560505,1.219293732
21,250,1959,195900,0.019882202,1.493103027,1.473220825,0.481046473,0.3172013
22,250,1963,196300,0.000717163,3.595977783,3.59526062,1.14596504,1.168502633
22S,250,1960,196000,7.62939E-05,2.967880249,2.967803955,0.555311234,0.498699346
23,250,1960,196000,0.08026123,4.39855957,4.31829834,1.380085054,0.927580294
23S,250,1962,196200,0.656005859,9.356201172,8.700195313,4.372596733,1.478958464
24,250,1966,196600,0.048461914,4.411056519,4.362594604,0.848078249,0.658596929
24S,250,1960,196000,0.050750732,4.411056519,4.360305786,0.976544221,0.719921529
25,250,1958,195800,0.104492188,3.728851318,3.624359131,1.007791833,0.722312598
26,250,1963,196300,0.153259277,3.176925659,3.023666382,1.404180254,0.707904957
27,250,1959,195900,0.043655396,3.827026367,3.783370972,1.119452764,0.815200077
27A,250,1956,195600,0.254425049,7.335357666,7.080932617,1.883036966,1.295333331
28,250,1963,196300,0.066390991,5.639175415,5.572784424,1.436266976,1.43389101
29,250,1953,195300,0.022506714,3.885635376,3.863128662,1.499133773,0.872233737
2A,250,1960,196000,0.051589966,3.097229004,3.045639038,0.604842244,0.406155862
3,250,1967,196700,0.163406372,5.309417725,5.146011353,2.143246424,1.143554276
31,250,1955,195500,0.04536438,2.62562561,2.58026123,0.954335611,0.538057318
32,250,1964,196400,0.032699585,4.758392334,4.725692749,1.21536512,1.045684766
33,250,1961,196100,0.0599823,5.639266968,5.579284668,1.252423556,0.852315946
34,250,1959,195900,0.059143066,6.254257202,6.195114136,2.715734563,0.971931317
4,250,1957,195700,0.188354492,6.139785767,5.951431274,2.601756404,0.881123395
5,250,1960,196000,0.067825317,1.047531128,0.979705811,0.511683904,0.194666782
5NE,250,1954,195400,0.313308716,2.748031616,2.4347229,0.993659419,0.373700677
5NW,250,1961,196100,1.52588E-05,8.053314209,8.05329895,1.916706527,1.753240848
5SE,250,1955,195500,0.158569336,11.16436768,11.00579834,2.956143805,1.678589745
6,250,1960,196000,0.115844727,6.774429321,6.658584595,1.397379762,1.057272503
6NE,250,1956,195600,0.607757568,4.033538818,3.42578125,1.979478559,0.860388634
6NW,250,1960,196000,0.047851563,5.018295288,4.970443726,1.917904974,1.275241429
6SW,250,1967,196700,0.16104126,6.814758301,6.653717041,1.977749412,1.224082232
7,250,1957,195700,0.033370972,5.406204224,5.372833252,0.964631102,0.710232785
8,250,1961,196100,0.041107178,6.903640747,6.862533569,1.630103197,1.090138293
9,250,1945,194500,0.047821045,2.980606079,2.932785034,1.660863638,0.683800343
Cell 1 2011/12,250,1958,195800,0.279846191,5.029190063,4.749343872,1.879853425,1.014067881
Cell 1 SW 2013,250,1959,195900,0.260299683,2.856628418,2.596328735,1.190361782,0.510330631
Cell 10-A 2011/12,250,1957,195700,0.049575806,3.960891724,3.911315918,1.06960113,0.939995781
Cell 10 2011/12,250,1955,195500,0.001098633,3.914932251,3.913833618,1.119678093,0.814890847
Cell 10 NE 2011/12,250,1970,197000,0.629623413,2.586196899,1.956573486,1.823546101,0.502567883
Cell 10 NW 2011/12,250,1956,195600,0.035079956,3.331176758,3.296096802,1.379630879,0.98612186
Cell 10 SE 2013,250,1965,196500,0.047851563,5.018295288,4.970443726,1.918497993,1.276243936
Cell 10 SW 2011/12,250,1958,195800,0.011276245,4.362960815,4.35168457,1.442034962,1.223243976
Cell 11 NE 2011/12,250,1958,195800,0.003936768,6.526794434,6.522857666,2.267070603,1.177098182
Cell 11 NW 2013,250,1957,195700,0.208129883,4.613601685,4.405471802,1.172830362,0.606798974
Cell 11 SW 2013,250,1965,196500,0.010620117,0.989990234,0.979370117,0.136624503,0.10928604
Cell 12 2013,250,1960,196000,0.033370972,5.406204224,5.372833252,0.931571595,0.700833637
Cell 13 2013,250,1961,196100,0.029541016,7.255386353,7.225845337,2.371399362,1.660414385
Cell 14 2013,250,1959,195900,0.05770874,6.365615845,6.307907104,1.175466096,0.858991743
Cell 15-A 2013,250,1960,196000,0.235870361,3.773071289,3.537200928,0.932846077,0.344778665
Cell 15 2013,250,1964,196400,0.026535034,5.646682739,5.620147705,0.965799934,0.954553042
Cell 16 2013,250,1959,195900,0.044509888,2.371063232,2.326553345,1.143129739,0.434061517
Cell 17 NW 2011/12,250,1965,196500,0.072021484,2.251113892,2.179092407,0.646636435,0.325403845
Cell 17 NW 2013,250,1964,196400,0,2.597061157,2.597061157,0.700466863,0.669309075
Cell 17 SE 2013,250,1959,195900,0.035079956,3.331176758,3.296096802,1.374732975,0.987638898
Cell 17 SW 2013,250,1960,196000,0.090774536,1.047531128,0.956756592,0.562010115,0.173931318
Cell 18 2011/12,250,1955,195500,0.204620361,3.416259766,3.211639404,1.487206969,0.605600519
Cell 18 NE 2013,250,1959,195900,0.073669434,5.341690063,5.26802063,2.093127178,1.399685173
Cell 18 NW 2013,250,1962,196200,0.301635742,14.69973755,14.39810181,3.425699854,2.422600131
Cell 18 SE 2013,250,1960,196000,0.003936768,6.526794434,6.522857666,2.258628448,1.177022416
Cell 18 SSE 2013,250,1963,196300,0.391708374,10.08331299,9.691604614,2.963732019,1.583930309
Cell 19 NW 2013,250,1966,196600,0.045135498,2.161575317,2.116439819,0.366540313,0.232205202
Cell 2 2011/12,250,1959,195900,0.076019287,8.980300903,8.904281616,3.923024083,1.651526646
Cell 2 NE 2013,250,1958,195800,0.350448608,16.68702698,16.33657837,5.620598541,2.604516948
Cell 2 SW 2013,250,1960,196000,0.279846191,5.029190063,4.749343872,1.84373429,0.983624226
Cell 20 2013,250,1956,195600,0.020568848,3.395767212,3.375198364,1.219322556,0.743102567
Cell 21 2013,250,1960,196000,0.00793457,6.324645996,6.316711426,0.725449924,1.390241752
Cell 22 2013,250,1958,195800,0.034683228,1.151046753,1.116363525,0.44706158,0.175861684
