Site,Easting,Northing,UTM_Zone_to_load_EastingNorthing,UTM_Zone_for_spatialgeometry
Cell R6,623433,5653224,26911,3400
Cell 10 2011/12,618196,5627432,26911,3400
Cell 10 NE 2011/12,620496,5627994,26911,3400
Cell R36,616488,5632447,26911,3400
Cell 10 SW 2011/12,616875,5626058,26911,3400
Cell R47,621084,5626144,26911,3400
Cell R48,629293,5627585,26911,3400
Cell R37,629331,5632087,26911,3400
11NW,627900,5630291,26911,3400
Cell R49,631017,5624696,26911,3400
Cell R50,641582,5625183,26911,3400
Cell R51,651164,5628746,26911,3400
14,670723,5626480,26911,3400
16,621626,5610327,26911,3400
Cell R60,630894,5617054,26911,3400
Cell R59,627339,5618599,26911,3400
Cell R71,636559,5612447,26911,3400
Cell R70,627996,5611711,26911,3400
Cell 18 2011/12,641923,5619045,26911,3400
Cell R62,650689,5619864,26911,3400
Cell 2 2011/12,634268,5647155,26911,3400
Cell R75,664403,5614617,26911,3400
Cell R77,677140,5612281,26911,3400
22,628993,5608309,26911,3400
22S,628419,5608292,26911,3400
Cell R82,642465,5607310,26911,3400
23S,642474,5635995,26911,3400
Cell R40,653156,5630883,26911,3400
Cell R93,668842,5599915,26911,3400
Cell 15 2013,674560,5642460,26911,3400
Cell R98,656618,5593751,26911,3400
27A,647909,5594609,26911,3400
Cell R105,663093,5586614,26911,3400
Cell R100,671372,5593531,26911,3400
3,643348,5650536,26911,3400
31,664997,5576373,26911,3400
Cell R113,672713,5574180,26911,3400
Cell R118,666330,5570397,26911,3400
34,671843,5566058,26911,3400
4,649200,5650202,26911,3400
Cell R35,613225,5634952,26911,3400
Cell 9 SE 2013,618196,5642751,26911,3400
Cell 9 SW 2013,616087,5641079,26911,3400
Cell 6 2011/12,632350,5638385,26911,3400
Cell 6 NE 2011/12,632304,5643453,26911,3400
Cell R26,627192,5643242,26911,3400
Cell R25,622592,5638444,26911,3400
Cell 6 SW 2011/12,627968,5635995,26911,3400
Cell 12 2013,646431,5642517,26911,3400
8,654932,5641373,26911,3400
9,665316,5636901,26911,3400
2A,633159,5648761,26911,3400
W338,610153,5692260,26911,3400
W342,622569,5694474,26911,3400
W345,630176,5693527,26911,3400
W387,598151,5709787,26911,3400
W393,611686,5702106,26911,3400
W440,596147,5718149,26911,3400
W445,614289,5723453,26911,3400
W441,600734,5728481,26911,3400
W500,608890,5732510,26911,3400
Cell R1,609567,5665678,26911,3400
Cell R5,611260,5652780,26911,3400
Cell R15,613340,5650694,26911,3400
Cell R24,614571,5639045,26911,3400
Cell R46,615118,5625016,26911,3400
Cell R16,617385,5645805,26911,3400
Cell R69,621643,5609881,26911,3400
Cell R58,622215,5615824,26911,3400
Cell R17,627534,5646538,26911,3400
Cell R80,627911,5609733,26911,3400
Cell R7,630891,5658091,26911,3400
Cell R27,631593,5639576,26911,3400
Cell R38,634326,5632500,26911,3400
Cell R18,633495,5648072,26911,3400
Cell R81,636659,5605702,26911,3400
Cell R8,636926,5656047,26911,3400
Cell R9,639089,5655360,26911,3400
Cell R72,641413,5612064,26911,3400
Cell R76,671974,5614819,26911,3400
Cell R61,642725,5618034,26911,3400
Cell R19,643516,5648047,26911,3400
Cell R73,644652,5614314,26911,3400
Cell R28,644911,5641589,26911,3400
Cell R83,645351,5603042,26911,3400
Cell R10,645616,5653075,26911,3400
Cell R90,647304,5598608,26911,3400
Cell R29,648282,5638274,26911,3400
Cell R97,649216,5594243,26911,3400
Cell R39,649669,5632767,26911,3400
Cell R20,650471,5650832,26911,3400
Cell R91,653056,5598672,26911,3400
Cell R63,654327,5621979,26911,3400
Cell R11,656028,5654950,26911,3400
Cell R84,656741,5607187,26911,3400
Cell R30,657698,5639360,26911,3400
Cell R74,657962,5614856,26911,3400
Cell R104,658105,5584900,26911,3400
Cell R21,658340,5645100,26911,3400
Cell R52,658477,5628469,26911,3400
Cell R85,659660,5608203,26911,3400
Cell S2,659946,5658595,26911,3400
Cell R99,660032,5590028,26911,3400
Cell S41,660503,5634737,26911,3400
Cell R22,660852,5646327,26911,3400
Cell R31,661517,5641860,26911,3400
Cell R53,661759,5626510,26911,3400
Cell R111,661769,5578588,26911,3400
Cell R92,661857,5598988,26911,3400
Cell R117,663556,5569510,26911,3400
Cell R64,664552,5618921,26911,3400
Cell R123,665801,5565316,26911,3400
Cell S13,666425,5656792,26911,3400
Cell S32,666833,5639626,26911,3400
Cell S23,667182,5649402,26911,3400
Cell R65,667936,5620636,26911,3400
Cell R106,668334,5584964,26911,3400
Cell R112,669167,5577396,26911,3400
Cell R119,673025,5571938,26911,3400
Cell S42,671530,5636264,26911,3400
Cell R86,671562,5602770,26911,3400
