File,Date,Time,Image quality,Location,Session,DateStart,Classifier,CommentsImages,ColourMarkings,EventStart,EventEnd,Duration,Species,JumpoutUse,ParksStaff,DirectionTravel,Total,Horses,DogsOnLeash,DogsOffLeash,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder
M0008405.JPG,27-Dec-11,12:44 PM,Ok,Cell 1 2011/12,1,17/12/2011,NH,,,,,,Common Raven,None,No,,1,,,,,,,,,,Session 1
M0000201.JPG,17-Dec-11,7:52 PM,Ok,Cell 1 2011/12,1,17/12/2011,NH,first detection,,,,,Marten,None,No,,1,,,,,,,,,,Cell 1_Session 1_17-Dec-12 to 20-Jan-12
M0016905.JPG,20-Jan-12,10:32 AM,Ok,Cell 1 2011/12,1,17/12/2011,NH,last detection,,,,,Marten,None,No,,1,,,,,,,,,,Cell 1_Session 1_17-Dec-12 to 20-Jan-12
M0014504.JPG,12-Jan-12,9:40 AM,Ok,Cell 1 2011/12,1,17/12/2011,NH,,,,,,White-tailed Deer,None,No,,1,,,,,,,,,,Cell 1_Session 1_17-Dec-12 to 20-Jan-12
M0002001.JPG,24-Jan-12,4:11 PM,Ok,Cell 1 2011/12,2,21/01/2012,NH,great sequence,,,,,Cougar,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0014501.JPG,02-Feb-12,8:36 AM,Ok,Cell 1 2011/12,2,21/01/2012,NH,,,,,,Coyote,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0000203.JPG,22-Jan-12,5:31 AM,Ok,Cell 1 2011/12,2,21/01/2012,NH,first detection ,,,,,Marten,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0014901.JPG,11-Feb-12,1:30 PM,Ok,Cell 1 2011/12,2,21/01/2012,NH,last detection,,,,,Marten,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0013404.JPG,29-Jan-12,1:49 PM,Ok,Cell 1 2011/12,2,21/01/2012,NH,Gray Jay,,,,,Other,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0000102.JPG,21-Jan-12,12:36 PM,Ok,Cell 1 2011/12,2,21/01/2012,NH,,,,,,Red Squirrel,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0015201.JPG,13-Feb-12,12:44 PM,Ok,Cell 1 2011/12,2,21/01/2012,NH,,,,,,Unknown Deer,None,No,,1,,,,,,,,,,Cell 1_Session 2_21-Jan-12 to 15-Feb-12
M0012301.JPG,10-Mar-12,6:25 PM,Ok,Cell 1 2011/12,3,16-Feb-12,NH,,,,,,Cougar,None,No,,1,,,,,,,,,,Cell 1_Session 3_16-Feb-12 to 15-Mar-12
M0009803.JPG,28-Feb-12,2:30 PM,Ok,Cell 1 2011/12,3,16-Feb-12,NH,,,,,,Coyote,None,No,,1,,,,,,,,,,Cell 1_Session 3_16-Feb-12 to 15-Mar-12
M0000401.JPG,19-Feb-12,7:49 PM,Ok,Cell 1 2011/12,3,16-Feb-12,NH,first detection,,,,,Marten,None,No,,1,,,,,,,,,,Cell 1_Session 3_16-Feb-12 to 15-Mar-12
M0012103.JPG,10-Mar-12,5:58 PM,Ok,Cell 1 2011/12,3,16-Feb-12,NH,last detection,,,,,Marten,None,No,,1,,,,,,,,,,Cell 1_Session 3_16-Feb-12 to 15-Mar-12
M0009903.JPG,29-Feb-12,9:10 AM,Ok,Cell 1 2011/12,3,16-Feb-12,NH,,,,,,Red Squirrel,None,No,,1,,,,,,,,,,Cell 1_Session 3_16-Feb-12 to 15-Mar-12
