Dataset,Study Region,Project,Camera_Site,Othername,Easting,Northing
13/14,East Slopes,BMA5,Cell R1,,609567,5665678
13/14,East Slopes,BMA5,Cell R5,,611260,5652780
13/14,East Slopes,BMA5,Cell R15,,613340,5650694
13/14,East Slopes,BMA5,Cell R24,,614571,5639045
13/14,East Slopes,BMA5,Cell R46,,615118,5625016
13/14,East Slopes,BMA5,Cell R36,,616488,5632447
13/14,East Slopes,BMA5,Cell R16,,617385,5645805
13/14,East Slopes,BMA5,Cell R47,,621084,5626144
13/14,East Slopes,BMA5,Cell R69,,621643,5609881
13/14,East Slopes,BMA5,Cell R58,,622215,5615824
13/14,East Slopes,BMA5,Cell R25,,622592,5638444
13/14,East Slopes,BMA5,Cell R6,,623433,5653224
13/14,East Slopes,BMA5,Cell R26,,627192,5643242
13/14,East Slopes,BMA5,Cell R59,,627339,5618599
13/14,East Slopes,BMA5,Cell R17,,627534,5646538
13/14,East Slopes,BMA5,Cell R80,,627911,5609733
13/14,East Slopes,BMA5,Cell R35,,613225,5634952
13/14,East Slopes,BMA5,Cell R70,,627996,5611711
13/14,East Slopes,BMA5,Cell R48,,629293,5627585
13/14,East Slopes,BMA5,Cell R37,,629331,5632087
13/14,East Slopes,BMA5,Cell R7,,630891,5658091
13/14,East Slopes,BMA5,Cell R60,,630894,5617054
13/14,East Slopes,BMA5,Cell R49,,631017,5624696
13/14,East Slopes,BMA5,Cell R27,,631593,5639576
13/14,East Slopes,BMA5,Cell R38,,634326,5632500
13/14,East Slopes,BMA5,Cell R18,,633495,5648072
13/14,East Slopes,BMA5,Cell R71,,636559,5612447
13/14,East Slopes,BMA5,Cell R81,,636659,5605702
13/14,East Slopes,BMA5,Cell R8,,636926,5656047
13/14,East Slopes,BMA5,Cell R9,,639089,5655360
13/14,East Slopes,BMA5,Cell R72,,641413,5612064
13/14,East Slopes,BMA5,Cell R50,,641582,5625183
13/14,East Slopes,BMA5,Cell R76,,671974,5614819
13/14,East Slopes,BMA5,Cell R82,,642465,5607310
13/14,East Slopes,BMA5,Cell R61,,642725,5618034
13/14,East Slopes,BMA5,Cell R19,,643516,5648047
13/14,East Slopes,BMA5,Cell R73,,644652,5614314
13/14,East Slopes,BMA5,Cell R28,,644911,5641589
13/14,East Slopes,BMA5,Cell R83,,645351,5603042
13/14,East Slopes,BMA5,Cell R10,,645616,5653075
13/14,East Slopes,BMA5,Cell R90,,647304,5598608
13/14,East Slopes,BMA5,Cell R29,,648282,5638274
13/14,East Slopes,BMA5,Cell R97,,649216,5594243
13/14,East Slopes,BMA5,Cell R39,,649669,5632767
13/14,East Slopes,BMA5,Cell R20,,650471,5650832
13/14,East Slopes,BMA5,Cell R62,,650689,5619864
13/14,East Slopes,BMA5,Cell R51,,651164,5628746
13/14,East Slopes,BMA5,Cell R91,,653056,5598672
13/14,East Slopes,BMA5,Cell R40,,653156,5630883
13/14,East Slopes,BMA5,Cell R63,,654327,5621979
13/14,East Slopes,BMA5,Cell R11,,656028,5654950
13/14,East Slopes,BMA5,Cell R98,,656618,5593751
13/14,East Slopes,BMA5,Cell R84,,656741,5607187
13/14,East Slopes,BMA5,Cell R30,,657698,5639360
13/14,East Slopes,BMA5,Cell R74,,657962,5614856
13/14,East Slopes,BMA5,Cell R104,,658105,5584900
13/14,East Slopes,BMA5,Cell R21,,658340,5645100
13/14,East Slopes,BMA5,Cell R52,,658477,5628469
13/14,East Slopes,BMA5,Cell R85,,659660,5608203
13/14,East Slopes,BMA5,Cell S2,,659946,5658595
13/14,East Slopes,BMA5,Cell R99,,660032,5590028
13/14,East Slopes,BMA5,Cell S41,,660503,5634737
13/14,East Slopes,BMA5,Cell R22,,660852,5646327
13/14,East Slopes,BMA5,Cell R31,,661517,5641860
13/14,East Slopes,BMA5,Cell R53,,661759,5626510
13/14,East Slopes,BMA5,Cell R111,,661769,5578588
13/14,East Slopes,BMA5,Cell R92,,661857,5598988
13/14,East Slopes,BMA5,Cell R105,,663093,5586614
13/14,East Slopes,BMA5,Cell R117,,663556,5569510
13/14,East Slopes,BMA5,Cell R75,,664403,5614617
13/14,East Slopes,BMA5,Cell R64,,664552,5618921
13/14,East Slopes,BMA5,Cell R123,,665801,5565316
13/14,East Slopes,BMA5,Cell R118,,666330,5570397
13/14,East Slopes,BMA5,Cell S13,,666425,5656792
13/14,East Slopes,BMA5,Cell S32,,666833,5639626
13/14,East Slopes,BMA5,Cell S23,,667182,5649402
13/14,East Slopes,BMA5,Cell R65,,667936,5620636
13/14,East Slopes,BMA5,Cell R106,,668334,5584964
13/14,East Slopes,BMA5,Cell R93,,668842,5599915
13/14,East Slopes,BMA5,Cell R112,,669167,5577396
13/14,East Slopes,BMA5,Cell R119,,673025,5571938
13/14,East Slopes,BMA5,Cell R100,,671372,5593531
13/14,East Slopes,BMA5,Cell S42,,671530,5636264
13/14,East Slopes,BMA5,Cell R86,,671562,5602770
13/14,East Slopes,BMA5,Cell R54,,672637,5625157
13/14,East Slopes,BMA5,Cell R113,,672713,5574180
13/14,East Slopes,BMA5,Cell S14,,672927,5654588
13/14,East Slopes,BMA5,Cell R124,,671997,5564145
13/14,East Slopes,BMA5,Cell R125,,674494,5563012
13/14,East Slopes,BMA5,Cell R87,,674562,5602305
13/14,East Slopes,BMA5,Cell R66,,674585,5620624
13/14,East Slopes,BMA5,Cell R101,,674712,5594608
13/14,East Slopes,BMA5,Cell S33,,676751,5641672
13/14,East Slopes,BMA5,Cell R77,,677140,5612281
13/14,East Slopes,BMA5,Cell S94,,677983,5597339
13/14,East Slopes,BMA5,Cell R107,,679055,5582938
