"","Array","Site","Moose","Black Bear","White-Tailed Deer","Human","Marten","Coyote","Caribou","Wolf","Lynx","Red Squirrel","Snowshoe Hare","Rabbit","Fisher","Beaver","Red Fox","Wolverine","River Otter","Groundhog","Elk","Flying Squirrel","Weasel","Bison","Mule Deer","Grizzly Bear","Bighorn Sheep","Striped Skunk","Cougar","Marmot","Muskrat","Bobcat","Porcupine","Columbian Ground Squirrel","Badger","Raccoon","Bushy-Tailed Woodrat","Richardson's Ground Squirrel","Chipmunk","Mountain Goat","Golden-Mantled Ground Squirrel","Short-Tailed Weasel","Mink","Pika","n.days.active","x_coord","y_coord","water","shrub","grass","conifer","broadlf","mixed","snow","elev","tri","abandoned.wellsites","active.wellsites","cutblocks","roads","seismic","cultivation","transmission","railways","linear","block","RADIUS","NCELLS","AREA","MIN","MAX","RANGE","MEAN","STD","Black Bear.present","Coyote.present","Elk.present","Grizzly Bear.present","Human.present","Moose.present","White-Tailed Deer.present","Mule Deer.present","Red Squirrel.present","Marten.present","Red Fox.present","Snowshoe Hare.present","Wolverine.present","Lynx.present","Cougar.present","Bobcat.present","Flying Squirrel.present","Short-Tailed Weasel.present","Wolf.present","Porcupine.present","Striped Skunk.present","Bighorn Sheep.present","Vole.present","Badger.present","Columbian Ground Squirrel.present","Marmot.present","Raccoon.present","Bushy-Tailed Woodrat.present","Richardson's Ground Squirrel.present","Chipmunk.present","Mountain Goat.present","Golden-Mantled Ground Squirrel.present","Caribou.present","Fisher.present","Mink.present","Black Bear.absent","Coyote.absent","Elk.absent","Grizzly Bear.absent","Human.absent","Moose.absent","White-Tailed Deer.absent","Mule Deer.absent","Red Squirrel.absent","Marten.absent","Red Fox.absent","Snowshoe Hare.absent","Wolverine.absent","Lynx.absent","Cougar.absent","Bobcat.absent","Flying Squirrel.absent","Short-Tailed Weasel.absent","Wolf.absent","Porcupine.absent","Striped Skunk.absent","Bighorn Sheep.absent","Vole.absent","Badger.absent","Columbian Ground Squirrel.absent","Marmot.absent","Raccoon.absent","Bushy-Tailed Woodrat.absent","Richardson's Ground Squirrel.absent","Chipmunk.absent","Mountain Goat.absent","Golden-Mantled Ground Squirrel.absent","Caribou.absent","Fisher.absent","Mink.absent"
"1","Kananaskis","11NW",5,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,627899.999998696,5630291.00012496,0,0.127197270705093,0,0.469746806567754,0.261997206017479,0.035724554928301,0.405501090611021,1852.42378210488,26.7644799083186,0,0,0,0.019711944244807,0.012661913814781,0,0,0,0.012661913814781,0,1000,58,3113723.61999979,6749,8976,2227,7760.62068965517,526.660651967239,1,2,2,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,23,24,21,21,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"2","Kananaskis","14",11,5,12,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,670722.999998275,5626480.00012493,0,0.165956632911815,0.038207031808038,0.323551954910753,0.130793493797107,0.224778185786909,0,1454.85869986031,13.0662469956481,0,0.007986900864819,0.11232672474902,0.015316943836105,0.012517607793775,0,0,0,0.012517607793775,0.120313625613839,1000,58,3113723.61999988,6896,8634,1738,7953.03448275862,525.968170189337,4,8,0,0,7,15,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,46,54,54,47,39,41,51,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"3","Kananaskis","16",0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,621625.999998764,5610327.00012487,0.145486417914953,0.213513317559543,0,0.253390374870681,0.058759997146256,0,0.964705884456635,2269.88832199194,31.0179761585436,0,0,0,0,0.004145967378756,0,0,0,0.004145967378756,0,1000,57,3060038.73000005,1342,9332,7990,5977.10526315789,2253.00193258192,0,0,0,1,1,0,0,0,0,12,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,47,46,46,47,47,47,47,35,46,41,42,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
"4","Kananaskis","22S",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,628418.999998698,5608292.00012486,0.332187986752738,0.111517755553556,0,0.407992459390179,0.109963275238078,0,0.524509817361832,1789.34358671624,22.3740024382662,0,0,0,0,0,0,0,0,0,0,1000,59,3167408.50999978,-1724,9195,10919,5827.30508474576,2871.50921904473,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"5","Kananaskis","23S",1,0,1,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,642473.999998549,5635995.00012499,0,0.017929067114292,0.000176029233778,0.043833758980636,0,0,0.600490212440491,2352.68729329947,38.4014681002583,0,0,0,0,0,0,0,0,0,0,1000,58,3113723.61999979,1722,6463,4741,2834.65517241379,941.835690182121,0,0,0,3,2,1,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,20,21,22,22,22,23,22,23,20,23,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"6","Kananaskis","27A",0,0,4,0,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,647908.999998512,5594609.00012478,0,0.109920419800986,0,0.686785236109621,0.164271014026585,0,0.54793028285106,2157.68054791793,28.9051688975115,0,0,0.400955752488645,0,0.036560845642089,0,0,0,0.036560845642089,0.400955752488645,1000,58,3113723.61999979,4659,8980,4321,7608.63793103448,818.035044740323,0,2,0,2,1,0,3,0,1,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,52,54,52,53,54,51,54,53,42,54,52,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"7","Kananaskis","3",2,0,1,8,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,643347.999998534,5650536.00012505,0,0.031097170722404,0,0.901929288846715,0,0.021535623351909,0.0138888889923692,1737.69686657869,25.1839796621588,0,0,0,0.008519289054979,0.003111524669237,0,0,0,0.003111524669237,0,1000,58,3113723.61999988,6890,7922,1032,7563.74137931034,255.815164977715,0,4,0,2,10,4,1,3,5,7,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,49,53,51,43,49,52,50,48,46,53,49,53,53,50,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
"8","Kananaskis","31",1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,664996.999998353,5576373.00012468,0,0.040687298237935,0,0.942002282910957,0,0,0.0277777779847383,1793.94512861203,17.0481463701297,0,0,0.010228635362052,0.000818234169046,0.027048491537118,0,0,0,0.027048491537118,0.010228635362052,1000,59,3167408.50999978,7259,8058,799,7659.16949152542,172.913729105875,0,0,0,1,1,2,1,0,2,0,0,3,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,34,34,33,34,35,33,35,35,32,35,34,35,34,32,33,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"9","Kananaskis","34",1,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,671842.999998292,5566058.00012462,0,0.14600832871836,0,0.810876149951007,0,0,0.194444451481104,1937.0608131384,29.1574550986676,0,0,0.211069947941129,0.013957678602544,0.002767268937857,0,0,0,0.002767268937857,0.211069947941129,1000,62,3328463.17999987,6398,7764,1366,7053.64516129032,282.110313402748,0,2,0,2,0,1,2,2,2,4,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,34,32,34,33,32,32,32,30,34,32,31,34,34,34,34,34,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
"10","Kananaskis","4",4,2,1,2,0,7,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,649199.999998475,5650202.00012505,0,0.060049700356558,0.09615657475092,0.722128287115429,0,0,0.0694444449618459,1749.4070686121,26.0736178072116,0,0,0,0.016984131654131,0,0,0,0,0,0,1000,58,3113723.61999979,5855,7877,2022,7304.96551724137,370.6712441298,3,6,0,0,4,6,1,7,5,6,14,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,48,54,54,50,48,53,47,49,48,40,54,54,54,53,54,51,54,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
