"Site","Easting","Northing","start_date","end_date"
"11NW",627900,5630291,2012-08-14,"2012-09-19"
"11NW",627900,5630291,2012-11-19,"2012-12-21"
"11NW",627900,5630291,2012-10-19,"2012-11-19"
"11NW",627900,5630291,2012-09-19,"2012-10-19"
"11NW",627900,5630291,2012-06-07,"2012-07-30"
"14",670723,5626480,2011-12-14,"2012-01-05"
"14",670723,5626480,2012-11-14,"2012-12-13"
"14",670723,5626480,2012-02-17,"2012-03-15"
"14",670723,5626480,2012-01-18,"2012-01-18"
"14",670723,5626480,2012-03-18,"2012-04-07"
"14",670723,5626480,2012-04-23,"2012-05-27"
"14",670723,5626480,2012-07-26,"2012-09-06"
"14",670723,5626480,2012-07-03,"2012-07-13"
"14",670723,5626480,2012-06-03,"2012-06-16"
"14",670723,5626480,2012-10-05,"2012-11-12"
"14",670723,5626480,2012-09-06,"2012-10-05"
"16",621626,5610327,2011-12-29,"2012-01-24"
"16",621626,5610327,2012-05-02,"2012-05-24"
"16",621626,5610327,2012-07-26,"2012-10-07"
"16",621626,5610327,2012-02-29,"2012-03-28"
"16",621626,5610327,2012-05-29,"2012-06-07"
"16",621626,5610327,2012-03-29,"2012-04-30"
"16",621626,5610327,2011-11-30,"2011-12-27"
"16",621626,5610327,2012-01-31,"2012-02-19"
"22",628993,5608309,2012-01-24,"2012-02-18"
"22",628993,5608309,2012-02-04,"2012-03-29"
"22S",628419,5608292,2012-09-23,"2012-10-26"
"22S",628419,5608292,2012-08-25,"2012-09-23"
"23S",642474,5635995,2012-05-01,"2012-05-27"
"23S",642474,5635995,2012-08-13,"2012-09-05"
"23S",642474,5635995,2012-09-21,"2012-10-30"
"23S",642474,5635995,2012-07-09,"2012-08-06"
"27A",647909,5594609,2012-02-01,"2012-02-28"
"27A",647909,5594609,2012-05-02,"2012-05-21"
"27A",647909,5594609,2011-12-29,"2012-01-29"
"27A",647909,5594609,2012-03-29,"2012-04-30"
"27A",647909,5594609,2012-05-29,"2012-11-27"
"27A",647909,5594609,2011-11-30,"2011-12-27"
"27A",647909,5594609,2012-02-09,"2012-03-28"
"2A",633159,5648761,2012-02-22,"2012-03-08"
"2A",633159,5648761,2012-03-23,"2012-04-10"
"2A",633159,5648761,2012-04-22,"2012-04-23"
"3",643348,5650536,2012-01-12,"2012-02-13"
"3",643348,5650536,2012-03-12,"2012-04-09"
"3",643348,5650536,2012-11-12,"2012-12-11"
"3",643348,5650536,2012-04-13,"2012-05-27"
"3",643348,5650536,2012-02-16,"2012-03-12"
"3",643348,5650536,2011-12-17,"2012-01-11"
"3",643348,5650536,2012-07-26,"2012-09-06"
"3",643348,5650536,2012-05-28,"2012-06-14"
"3",643348,5650536,2012-06-29,"2012-07-16"
"3",643348,5650536,2012-10-05,"2012-11-12"
"3",643348,5650536,2012-09-06,"2012-10-05"
"31",664997,5576373,2012-01-10,"2012-01-12"
"31",664997,5576373,2012-06-11,"2012-06-28"
"31",664997,5576373,2012-01-26,"2012-02-17"
"31",664997,5576373,2012-02-28,"2012-04-11"
"31",664997,5576373,2012-08-07,"2012-09-05"
"31",664997,5576373,2012-07-08,"2012-08-06"
"34",671843,5566058,2012-03-01,"2012-04-05"
"34",671843,5566058,2012-04-15,"2012-04-15"
"34",671843,5566058,2012-01-03,"2012-02-01"
"34",671843,5566058,2012-06-04,"2012-06-13"
"34",671843,5566058,2012-08-07,"2012-08-25"
"34",671843,5566058,2012-07-08,"2012-07-31"
