"site","radius","Road_Hard Surface","Road_Vegetated Verge","Seismic line","Cut Blocks","Road_Trail (Vegetated)","Well Site","Reservoirs","Transmission Line","Pipeline","Rural (Residential_Industrial)","Other Disturbed Vegetation","Cultivation (Crop_Pasture/Bare Ground)","Borrow-Pits_Dugouts/Sumps","Canals","Industrial Site Rural","Road – Hard Surface","Road – Vegetated Verge","Rail – Hard Surface","Rail – Vegetated Verge","Mine Site","Rail_Hard Surface","Rail_Vegetated Verge","Urban","High Density Livestock Operation","Municipal (Water and Sewage)","dense_conifer","moderate_conifer","open_conifer","mixed","herb","snow_or_ice","shrub","barren","water","broadleaf","cloud_or_no_data","treed_wetland","agriculture","open_wetland","shadow_or_no_data","unknown","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"11NW",1000,0,0,0.8,0,0,0,0,0,0,0,0,0,0.12,0,0,1.13,2.03,0,0,0,0,0,0,0,0,6.254989576,61.89644428,10.54027814,1.216126916,13.47061878,0.019333576,6.019532313,0,0.582554746,0,0,0,0,0,0,0,7867.534483,7760.62069,2.9268678
"11NW",1250,0.85,1.52,0.64,0,0.07,0,0,0,0,0.25,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,8.440744069,56.0444011,11.35600886,1.30609585,13.71882372,1.307665388,5.818843656,0,1.988975324,0.018334649,0,0,0,0,0,0,7763.233333,7663.5,2.852001035
"11NW",1500,0.79,1.35,0.59,0,0.08,0,0,0,0,0.36,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,10.96322105,50.80033551,10.80377911,1.125167502,14.48834297,0.993126845,5.192745405,0,5.620472851,0.012732395,0,0,0,0,0,0,7569.503759,7504.526316,2.868210194
"11NW",1750,0.89,1.47,0.6,0,0.06,0,0,0.54,0,0.26,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,10.65049545,48.14709705,9.926970801,1.163192153,16.42338966,0.77475747,4.998458355,0,7.896858931,0.018708826,0,0,0,0,0,0,7376.893258,7371.657303,2.875146465
"11NW",2000,0.88,1.44,0.6,0,0.04,0,0,0.71,0,0.35,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,9.545945003,47.36015402,9.48292355,1.180733465,15.14124217,1.023674885,5.040348441,0,11.18034248,0.044566393,0,0,0,0,0,0,7179.822785,7116.261603,2.999277603
"11NW",2250,0.81,1.32,0.6,0,0.05,0,0,0.76,0,0.28,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,8.387809722,47.57480748,9.462394763,1.159700609,13.91193868,1.017907508,4.439074603,0,13.98896602,0.057339293,0,0,0,0,0,0,7037.117845,6902.993266,3.16575456
"11NW",250,4.54,8.16,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54893707,48.45837211,11.61303835,0.458366236,24.92098836,0,0,0,0,0,0,0,0,0,0,0,7372.75,7667.75,1.681292594
"11NW",2500,0.73,1.18,0.61,0,0.13,0,0,0.76,0,0.26,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,7.363043073,47.72514439,9.863490038,1.102524943,13.28508512,0.825059225,3.644011577,0,16.06661412,0.050420286,0.074552716,0,0,0,0,0,6888.048649,6731.783784,3.334511588
"11NW",2750,0.67,1.06,0.58,0,0.14,0,0,0.73,0,0.23,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,6.554321313,46.1140973,10.89031772,1.143053231,12.73084801,0.74626569,3.27344917,0,18.24788305,0.049245959,0.250469429,0,0,0,0,0,6670.828125,6530.279018,3.539552818
"11NW",3000,0.62,0.99,0.55,0,0.14,0,0,0.69,0,0.22,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,5.730879849,43.70105288,10.67174469,1.123405391,12.61909554,0.628934815,3.453207727,0,21.70621752,0.041380285,0.324035152,0,0,0,0,0,6461.93032,6356.647834,3.774388374
